,Address,Company Name,County,Credit Score Alpha,Employee_Change,Estimated Labor Cost,Google_Reviews,Google_Scores,Grocery_within_Zip,NAICS,target,Sales_Change,Sales_per_employee,Square Footage,Supermarket_within_5_miles,county_personal_income,county_population
1168,6508 Bergenline Ave,Selectos Supermarket 3,Hudson,C,0.0,97177.64201,27.0,4.6,149,44511003,1,0.0,230500,"1,500 - 2,499",59,65296.05455,685991.5091
1169,,Shoprite Of English Creek,Atlantic,U,0.0,74427.48599,1491.0,4.2,59,44511003,1,0.0,264500,"1 - 1,499",7,48563.56364,266207.8
1170,428 State Rt 23,Sit N' Chat Diner,Sussex,C+,0.0,165510.0889,789.0,4.3,16,44511003,1,0.0,248400,"2,500 - 4,999",4,61649.29091,139335.0
1171,272 Morris Ave,Sofia's Fine Italian Cuisine,Union,C+,0.0,147425.4471,342.0,4.5,45,72251117,1,0.0,59500,"1,500 - 2,499",22,68219.0,562057.7636
1172,70 Christopher Columbus Dr,Sprout Market Place,Hudson,C,0.0,97177.64201,295.0,4.0,73,44511003,1,0.0,230500,"1,500 - 2,499",48,65296.05455,685991.5091
1173,157 Sterling Ave,Sterling Market,Hudson,C+,0.0,97177.64201,17.0,4.6,166,44511003,1,0.0,230500,"1,500 - 2,499",21,65296.05455,685991.5091
1174,1249 Mays Landing Rd,Stoc-Up,Atlantic,B+,0.0,260496.201,75.0,4.6,42,44511003,1,0.0,264429,"2,500 - 4,999",2,48563.56364,266207.8
1175,81 Palisade Ave,Stop N Go Convenience Store,Bergen,C+,0.0,108316.9431,8.0,4.6,30,44512001,1,0.0,252500,"1,500 - 2,499",56,85629.45455,942512.0545
1176,1400 Berlin Rd # 120,Subzi Mandi,Camden,B,0.0,122846.8484,326.0,3.5,20,44511003,1,0.0,221667,"2,500 - 4,999",21,54218.50909,505016.4182
1177,251 Littleton Rd,Subzi Mandi,Morris,C+,0.0,104194.4848,680.0,4.1,60,44511003,1,0.0,264500,"1,500 - 2,499",13,99047.49091000001,495913.1091
1178,294 Lee Ave,Super Fresco,Middlesex,C+,0.0,122921.0121,117.0,4.5,93,44511003,1,0.0,229000,"1 - 1,499",20,61266.49091,835785.1818
1179,157 Morris St,Super Gold Convenience,Morris,C+,0.0,156291.7271,11.0,3.6,45,44512001,1,0.0,264333,"1,500 - 2,499",11,99047.49091000001,495913.1091
1180,2300 Atlantic Ave # A,Super Mini Mart,Atlantic,C,0.0,37213.742999999995,9.0,3.0,159,44512001,1,0.0,265000,"2,500 - 4,999",3,48563.56364,266207.8
1181,2305 South Ave,Tom The Green Grocer,Union,B,0.0,110569.0853,73.0,4.8,15,44511003,1,0.0,240333,"1 - 1,499",17,68219.0,562057.7636
