Address,Company Name,County,Credit Score Alpha,Employee_Change,Estimated Labor Cost,Google_Reviews,Google_Scores,Grocery_within_Zip,NAICS,target,Sales_Change,Sales_per_employee,Square Footage,Supermarket_within_5_miles,county_personal_income,county_population,Year
48 Decker Rd,Josal Ingredients,Morris,C+,0,156291.7271,2,5,15,44511003,1,0,264333,"1,500 - 2,499",3,99047.49091,495913.1091,2019
249 W Jersey St,Joseph Centanni,Union,B+,0,147425.4471,2,2,67,54111002,0,0,201250,"1,500 - 2,499",28,68219,562057.7636,2019
915 W Front St,Jr Supermarket,Union,C+,0,73712.72353,4,4.8,17,44511003,1,0,240500,"1,500 - 2,499",16,68219,562057.7636,2019
193 Monroe St,JSK Food Market Corp,Passaic,C+,0,79662.6647,59,4.3,250,44511003,1,0,208000,"1,500 - 2,499",29,51091.4,506323.1818,2019
1421 Stuyvesant Ave # D,Kabayan Filipino Oriental Str,Union,C+,0,73712.72353,80,4.6,71,44511003,1,0,240500,"1,500 - 2,499",29,68219,562057.7636,2019
200 State Route 10 # 10,Kam Man Foods Inc,Morris,B+,0,2083889.695,518,4.2,22,44529903,1,0,110250,"40,000 - 99,999",10,99047.49091,495913.1091,2019
265 Pompton Ave,Kings Super Markets,Essex,C+,0,70091.07877,277,4.2,10,44511003,1,0,243000,"2,500 - 4,999",16,67268.47273,799220.5636,2019
1 Tidland Rd,Klae Construction Inc,Passaic,B+,0,716963.9823,4,3.8,7,23611512,1,0,357500,"2,500 - 4,999",1,51091.4,506323.1818,2019
535 E 2nd Ave # 1,Krishna General Store,Union,U,0,73712.72353,4,3.8,43,71329003,1,0,65000,"1 - 1,499",32,68219,562057.7636,2019
116 Shrewsbury Ave,LA China Poblana,Monmouth,C+,0,114372.5103,17,3.7,47,44511003,1,0,229000,"1,500 - 2,499",12,79548.29091,621279.6364,2019
123 E Commerce St,LA Mixtequita,Cumberland,B,0,114712.2516,55,4.4,71,45392002,1,0,131667,"1 - 1,499",2,40115.8,151919.2,2019
541 Monroe Ave,LA Placita Grocery Store,Union,C+,0,36856.36176,32,4.4,122,44511003,1,0,241000,"1 - 1,499",25,68219,562057.7636,2019
418 Black Horse Pike,Larry's Cold Cuts,Camden,C+,0,81897.89896,145,4.7,4,44511003,1,0,221500,"1 - 1,499",23,54218.50909,505016.4182,2019
3591 Route 35 N,Lasolas Market,Ocean,A,0,1208601.927,171,4.2,6,44511003,1,0,52800,"10,000 - 19,999",4,52010.14545,600689.8727,2019
83 Main St,Lebanon Boro General Store Inc,Hunterdon,C+,0,90611.79685,102,4.7,7,44512001,1,0,225000,"1 - 1,499",1,89151.38182,123816.5273,2019
162 Monmouth St,Linares Grocery LLC,Monmouth,C+,0,114372.5103,88,4.2,47,44511003,1,0,229000,"1 - 1,499",12,79548.29091,621279.6364,2019
343 Avon Ave,Los Tocayos Mini Market,Essex,C+,0,70091.07877,1,5,95,44512001,0,0,243000,"1,500 - 2,499",20,67268.47273,799220.5636,2019
4004 Bergenline Ave,Made In Ecuador LLC,Hudson,C,0,48588.82101,74,4.6,210,44511003,1,0,231000,"1 - 1,499",55,65296.05455,685991.5091,2019
606 Shiloh Pike,Main Line Deli,Cumberland,C,0,38237.41721,20,4.7,71,44511003,1,0,239000,"1,500 - 2,499",2,40115.8,151919.2,2019
1 Market St # 1a,Market Gourmet,Camden,U,0,81897.89896,22,4.6,42,42449005,1,0,1298000,"5,000 - 9,999",28,54218.50909,505016.4182,2019
800 Canistear Rd,Market Place,Sussex,B+,0,364122.1957,118,4.4,1,44511003,1,0,248364,"2,500 - 4,999",1,61649.29091,139335,2019
475 Penn St,Marmolejos Deli & Grocery,Middlesex,C+,0,81947.3414,34,4.3,98,44511003,1,0,229000,"1,500 - 2,499",12,61266.49091,835785.1818,2019
107 Lodi St,Martino's Grocery,Bergen,C+,0,108316.9431,61,4.8,79,44511003,1,0,252500,"1 - 1,499",23,85629.45455,942512.0545,2019
100 Mckinley Ave # 4,Mc Kinley Convenience LLC,Ocean,C,0,40286.73089,5,5,32,44512001,1,0,259000,"1,500 - 2,499",6,52010.14545,600689.8727,2019
3900 Landis Ave,Mcgowan's Food Mkt Deli & Grll,Cape May,C+,0,68418.69385,64,4.6,7,44511003,1,0,408500,"1 - 1,499",4,61476.94545,92193.6,2019
3012 Union Ave,Meadowbrook Food Ctr,Camden,B+,0,573285.2927,270,4.7,30,44511003,1,0,221500,"2,500 - 4,999",28,54218.50909,505016.4182,2019
490 Main St,Mediterranean Gourmet,Bergen,C+,0,54158.47157,52,4.9,44,44511003,1,0,253000,"1,500 - 2,499",40,85629.45455,942512.0545,2019
2 Thoreau Dr,Metro Foods Market,Monmouth,C+,0,76248.34021,4,5,86,44512001,1,0,229000,"1,500 - 2,499",10,79548.29091,621279.6364,2019
4308 New York Ave,Mi Pequeno Rincon De Mexico,Hudson,C,0,48588.82101,20,4.4,210,72251117,0,0,55000,"1 - 1,499",55,65296.05455,685991.5091,2019
1681 Princeton Ave,Mid East Market,Mercer,B,0,112471.5628,11,4.7,38,44511003,1,0,234667,"1,500 - 2,499",10,69383.27273,370297.8364,2019
34 Ridgedale Ave # B,Mini Mart,Morris,C+,0,104194.4848,1,5,22,44512001,1,0,264500,"1,500 - 2,499",10,99047.49091,495913.1091,2019
786 Bloomfield Ave,Mini Mart Food Store,Passaic,C+,0,79662.6647,12,4.8,12,44512001,1,0,208000,"1,500 - 2,499",27,51091.4,506323.1818,2019
440 Chandler Rd # 1,Minit Stop Food Store,Ocean,B,0,161146.9236,196,4.6,51,44512001,1,0,323250,"2,500 - 4,999",6,52010.14545,600689.8727,2019
2029 State Route 35 # 4,Mossuto's Market,Monmouth,B+,0,457490.0412,209,4.4,35,44511003,1,0,229000,"2,500 - 4,999",12,79548.29091,621279.6364,2019
81 Cassville Rd,Mr Ts Jackson Deli,Ocean,C+,0,80573.46178,13,4.5,51,44512001,1,0,259000,"1,500 - 2,499",6,52010.14545,600689.8727,2019
466 N Pearl St,Nachos Mini Market,Cumberland,C,0,38237.41721,29,4.1,71,44512001,1,0,239000,"1,500 - 2,499",2,40115.8,151919.2,2019
2407 State Route 71 # 3,Nature's Corner Natrl Mkt Str,Monmouth,B+,0,1143725.103,40,4.7,5,44619103,1,0,122400,"20,000 - 39,999",9,79548.29091,621279.6364,2019
120 E 2nd Ave,Nealtican Grocery,Union,C+,0,73712.72353,8,4.9,43,44511003,1,0,240500,"1,500 - 2,499",32,68219,562057.7636,2019
8014 Long Beach Blvd,Neptune Market,Ocean,C+,0,120860.1927,166,4.7,20,44511003,1,0,258667,"1 - 1,499",1,52010.14545,600689.8727,2019
15 W Main St,New City Food Market,Monmouth,B,0,190620.8505,69,4.1,86,44511003,1,0,229000,"2,500 - 4,999",10,79548.29091,621279.6364,2019
231 Wanaque Ave,Noypai Phillipino Asian Store,Passaic,C,0,39831.33235,29,4.5,9,44511003,1,0,208000,"1 - 1,499",9,51091.4,506323.1818,2019
Ginsberg Trailer Park 350 #105,Nutrition Zone LLC,Morris,U,0,104194.4848,18,4.6,15,62139925,1,0,69000,"1 - 1,499",9,99047.49091,495913.1091,2019
3351 Tremley Point Rd,Ny Poultry Co,Union,B+,0,552845.4265,2,3,94,44511003,1,0,240067,"2,500 - 4,999",28,68219,562057.7636,2019
653 Hamilton St,Nyamekye African Market,Somerset,C,0,99689.01995,29,4.3,81,44511003,1,0,229500,"1,500 - 2,499",10,104293.2182,333893.1455,2019
216 Ocean Gate Ave,Ocean Gate Market,Ocean,C+,0,80573.46178,106,4.3,1,44512001,1,0,259000,"1,500 - 2,499",6,52010.14545,600689.8727,2019
170 Route 37 E,One Stop Quick Lube,Ocean,B+,0,201433.6545,126,4.8,79,81111104,1,0,186400,"1 - 1,499",8,52010.14545,600689.8727,2019
475 N Franklin Tpke,Organico,Bergen,B,0,487426.2442,29,4.4,25,44619103,0,0,119444,"1,500 - 2,499",10,85629.45455,942512.0545,2019
29 Dodd St # A,Original Tropical,Essex,B,0,105136.6182,31,4.2,78,44511003,1,0,242667,"1 - 1,499",25,67268.47273,799220.5636,2019
230 Mountain Ave # 1,Panda Food Mart,Middlesex,C+,0,81947.3414,28,4.3,22,44511003,1,0,229000,"1,500 - 2,499",14,61266.49091,835785.1818,2019
2085 Route 88,Pantry Farm Food Store,Ocean,C,0,40286.73089,13,4.4,30,44511003,1,0,259000,"1 - 1,499",9,52010.14545,600689.8727,2019
343 Somerset St,Paramount Foods LLC,Morris,C+,0,156291.7271,1,1,14,44511003,1,0,264333,"1,500 - 2,499",10,99047.49091,495913.1091,2019
548 Paramus Rd,Paramus Food Ctr,Bergen,C+,0,108316.9431,15,4,35,44511003,1,0,252500,"1 - 1,499",22,85629.45455,942512.0545,2019
180 Park Ave # A,Park Ave Mini Mart,Passaic,C+,0,79662.6647,4,4.8,180,44512001,1,0,208000,"1 - 1,499",20,51091.4,506323.1818,2019
346 Union Hill Rd,Pastosa Ravioli,Monmouth,B+,0,762483.4021,152,4.8,45,44511003,1,0,229000,"10,000 - 19,999",11,79548.29091,621279.6364,2019
128 Durham Ave,Patidar Cash Carry,Middlesex,B,0,245842.0242,436,3.9,49,44511003,1,0,229000,"1,500 - 2,499",24,61266.49091,835785.1818,2019
761 Route 33 W,Patidar Supermarket,Mercer,B,0,299924.1675,677,4.3,30,44511003,1,0,234500,"2,500 - 4,999",4,69383.27273,370297.8364,2019
383 Newark Pompton Tunrkpike,Pequannock Deli,Morris,C,0,312583.4543,116,4.5,10,72251117,1,0,63167,"1,500 - 2,499",6,99047.49091,495913.1091,2019
402 Rising Sun Rd,Petro Bordentown,Burlington,C,0,143238.1335,1783,3.8,32,44719005,1,0,961333,"1,500 - 2,499",8,62081.52727,445855.6545,2019
449 Herbertsville Rd,Prime Food Market,Ocean,B,0,201433.6545,266,4.5,30,44522004,1,0,178400,"1,500 - 2,499",9,52010.14545,600689.8727,2019
2 Brooks Blvd,Quick Check Food Store,Somerset,C+,0,99689.01995,18,2.9,17,44511003,1,0,229500,"1 - 1,499",9,104293.2182,333893.1455,2019
648 W Grand Ave,Quick Food Mart,Union,B,0,147425.4471,20,4.4,50,44511003,0,-0.134,240250,"1 - 1,499",25,68219,562057.7636,2019
172 S Livingston Ave,Quick Mart Food Stores,Essex,B,0,140182.1575,6,4.2,24,44511003,1,0,242750,"1 - 1,499",12,67268.47273,799220.5636,2019
100 Ryders Ln,Quick Mart Pharmacy,Middlesex,B,0,327789.3656,11,4.3,13,44611009,1,0,332750,"5,000 - 9,999",13,61266.49091,835785.1818,2019
1665 Stelton Rd # A,Quick Stop Food Stores,Middlesex,C+,0,81947.3414,23,4.1,41,44512001,1,0,229000,"2,500 - 4,999",17,61266.49091,835785.1818,2019
83 Godwin Ave,Quick Stop Wine & Liquor,Bergen,C+,0,108316.9431,54,4.7,14,44531001,1,0,378500,"1,500 - 2,499",14,85629.45455,942512.0545,2019
2619 Woodbridge Ave,Quicks Convenience Food Store,Middlesex,C+,0,81947.3414,9,4.1,82,44512001,1,0,229000,"1 - 1,499",22,61266.49091,835785.1818,2019
2625 Woodbridge Ave,Quicks Convenience Food Store,Middlesex,B,0,245842.0242,9,4.1,82,44512001,1,0,229000,"1,500 - 2,499",22,61266.49091,835785.1818,2019
606 Midland Ave,Qwik Stop,Bergen,C+,0,108316.9431,20,4.4,34,44512001,0,0,252500,"1 - 1,499",23,85629.45455,942512.0545,2019
20 Pulaski St,Rainforest Dist,Hudson,C,0,97177.64201,23,3.6,106,44511003,1,0,230500,"1,500 - 2,499",18,65296.05455,685991.5091,2019
30 N Washington Ave,Ramz Oriental Store,Bergen,C+,0,162475.4147,16,4.7,27,45231906,1,0,188000,"1 - 1,499",20,85629.45455,942512.0545,2019
11 Crescent Ave,Randy's Auto Repair Inc,Bergen,B,0,216633.8863,16,4.8,11,44719005,1,0,1297750,"1 - 1,499",16,85629.45455,942512.0545,2019
202 Clinton Ave,Ravi West Indian Grocery,Union,C+,0,73712.72353,47,4.2,17,44511003,1,0,240500,"1,500 - 2,499",16,68219,562057.7636,2019
130 S Cook Ave,Raymond Deli Grocery,Mercer,C+,0,74981.04188,32,4,39,44511003,1,0,234500,"1 - 1,499",8,69383.27273,370297.8364,2019
1801 Route 70,Red Top Farm Market,Burlington,C+,0,95492.08903,191,4.6,12,44511003,1,0,236500,"1 - 1,499",0,62081.52727,445855.6545,2019
15 Jordan Ave,Rinconcito Copaneco,Hudson,C+,0,97177.64201,254,4.5,200,44511003,1,0,230500,"1,500 - 2,499",39,65296.05455,685991.5091,2019
1080 Old York Rd,Ringoes Country Deli,Hunterdon,C,0,90611.79685,44,3.7,11,72251117,1,0,58000,"1 - 1,499",3,89151.38182,123816.5273,2019
1801 Route 70,Red Top Farm Market,Burlington,C+,0,95492.08903,191,4.6,12,44511003,1,0,236500,"1 - 1,499",0,62081.52727,445855.6545,2019
490 Avon Ave,Rosario Deli Grocery,Essex,B,0,105136.6182,2,5,95,44511003,1,0,242667,"1,500 - 2,499",20,67268.47273,799220.5636,2019
178 E 33rd St,Rosario's Convenience Store,Passaic,C+,0,79662.6647,2,3,21,44512001,1,0,208000,"1 - 1,499",23,51091.4,506323.1818,2019
159 Sanford St,Sanford Mini Market,Essex,B+,0,175227.6969,10,4.8,92,44512001,1,0,242800,"1,500 - 2,499",15,67268.47273,799220.5636,2019
136 Main St,Santamaria Grocery Co,Monmouth,C+,0,114372.5103,13,4.6,46,44511003,1,0,229000,"1 - 1,499",12,79548.29091,621279.6364,2019
679 Haddon Ave # 1,Sara's Produce,Camden,C,0,40948.94948,31,4.8,17,44511003,1,0,222000,"1 - 1,499",21,54218.50909,505016.4182,2019
123 Ferry St,Seabra Foods,Essex,C+,0,70091.07877,8,4,106,44511003,1,0,243000,"1,500 - 2,499",19,67268.47273,799220.5636,2019
40 Meadowlands Pkwy,Secaucas Food Mart,Hudson,A,0,485888.2101,403,3.9,34,44531004,1,0.447826087,333100,"1 - 1,499",43,65296.05455,685991.5091,2019
61 N Beverwyck Rd,Shahi Food,Morris,B,0,156291.7271,88,3.8,12,44511003,1,0,264333,"1,500 - 2,499",8,99047.49091,495913.1091,2019
127 Ark Rd # 24,Shop Rite,Burlington,B,0,143238.1335,1114,4.1,41,44511003,1,0,1826667,"1,500 - 2,499",15,62081.52727,445855.6545,2019
155 Roseland Ave # 2,SHOPPERS,Essex,B,0,105136.6182,5,4.6,18,44511003,1,0,242667,"2,500 - 4,999",11,67268.47273,799220.5636,2019
1200 S Church St,Skyler's Hoagie,Burlington,C+,0,238730.2226,112,4.7,41,72251117,1,0,53600,"5,000 - 9,999",15,62081.52727,445855.6545,2019
248 Espanong Rd,Speedy Mart,Morris,C+,0,52097.24238,1,3,6,44512001,1,0,265000,"1,500 - 2,499",4,99047.49091,495913.1091,2019
17 Old York Rd,Speedy Mart Welsh Farms,Somerset,C,0,49844.50997,8,3.4,31,44512001,1,0,230000,"1 - 1,499",9,104293.2182,333893.1455,2019
695 Chambers St,St Francis Deli & Grocery,Mercer,C+,0,112471.5628,10,4.2,78,44511003,1,0,234667,"1,500 - 2,499",8,69383.27273,370297.8364,2019
4110 Quakerbridge Rd,Star Big Bazaar,Mercer,B,0,149962.0838,683,4.1,38,44511003,1,0,234500,"1,500 - 2,499",10,69383.27273,370297.8364,2019
995 Bergen St,Stop One,Essex,C+,0,70091.07877,2,4.5,80,44511003,1,0,243000,"1 - 1,499",24,67268.47273,799220.5636,2019
2714 Summit Ave # 1,Summit Grocery,Hudson,C+,0,97177.64201,9,4.4,210,44511003,1,0,230500,"1 - 1,499",55,65296.05455,685991.5091,2019
427 Prospect St,Sun Gate Mini Mart,Monmouth,C+,0,76248.34021,9,3.3,42,44512001,1,0,229000,"1 - 1,499",7,79548.29091,621279.6364,2019
195 Main St,Sunrise Dairy & Deli,Warren,C+,0,66852.76632,11,3.7,37,44512001,1,0,234500,"1 - 1,499",4,55860.87273,105169.1091,2019
2325 Spruce St,Super 7 Deli,Mercer,B,0.25,187452.6047,31,4.3,43,72251117,1,0.253112033,60400,"1,500 - 2,499",6,69383.27273,370297.8364,2019
53 S Jefferson St,Super Supermarket,Essex,B+,0,350455.3939,523,3.9,92,44511003,1,0,242700,"2,500 - 4,999",16,67268.47273,799220.5636,2019
2746 Hooper Ave,Sweet Green Food Market,Ocean,C+,0,80573.46178,79,4.6,49,44511003,1,0,259000,"1,500 - 2,499",6,52010.14545,600689.8727,2019
9 Frank E Rodgers Blvd N # A,Tony's Deli,Hudson,C+,0,97177.64201,51,4.8,30,44512001,1,0,461000,"1 - 1,499",16,65296.05455,685991.5091,2019
1016 Sherman Ave,Twin City Supermarket,Union,B+,0,442276.3412,1664,4.2,47,44511003,1,0,240083,"5,000 - 9,999",25,68219,562057.7636,2019
777 Passaic Ave # 230,Twinings North America Inc,Passaic,B+,0,796626.647,10,3.6,12,54161303,1,0,139600,100000,27,51091.4,506323.1818,2019
285 Grove St,Uja Inc,Hudson,U,0,97177.64201,1,5,73,44511003,1,0,230500,"1 - 1,499",48,65296.05455,685991.5091,2019
4404 Bergenline Ave,Union City Cosmetic,Hudson,C+,0,97177.64201,9,4.1,210,44512001,1,0,230500,"1 - 1,499",55,65296.05455,685991.5091,2019
405 Watchung Ave,Valdez Supermarket,Union,C+,0,73712.72353,50,4.6,92,44511003,1,0,240500,"1 - 1,499",17,68219,562057.7636,2019
349 Rosa Parks Blvd,Vega Grocery,Passaic,B,0,119493.9971,22,4.3,180,44511003,1,0,207667,"1,500 - 2,499",20,51091.4,506323.1818,2019
3005 Atlantic Ave,Villita Farm Market,Atlantic,C+,0,111641.229,51,3.8,159,44523001,1,0,154000,"1 - 1,499",3,48563.56364,266207.8,2019
3338 US Highway 9,Vingelinas,Monmouth,B,0,381241.701,9,4.4,86,44511003,1,0,229000,"20,000 - 39,999",10,79548.29091,621279.6364,2019
208 Watchung Ave,Washington Mini-Mart,Essex,C+,0,70091.07877,1,5,52,44512001,1,0,243000,"1 - 1,499",11,67268.47273,799220.5636,2019
303 3rd St,WCRS Quick Mark & Subs,Union,C,0,73712.72353,14,4.6,80,44511003,1,0,240500,"1 - 1,499",24,68219,562057.7636,2019
166 Wilson Ave # 3,Wilson Mini Mart,Essex,C,0,70091.07877,8,3.8,106,44512001,1,0,243000,"1 - 1,499",19,67268.47273,799220.5636,2019
16 Laird St,WINZ Market,Monmouth,U,0,114372.5103,11,5,42,44511003,1,0,229000,"1 - 1,499",7,79548.29091,621279.6364,2019
480 Boonton Tpke # 1,Wolfson J Super Market,Morris,A,0,1041944.848,169,4.5,6,44512001,1,0,264150,"10,000 - 19,999",4,99047.49091,495913.1091,2019
250 Woodbridge Ctr # 1155,Woodbridge News Inc,Middlesex,C+,0,81947.3414,9,4.4,39,44512001,1,0,229000,"5,000 - 9,999",16,61266.49091,835785.1818,2019
107 Egg Harbor Rd,Xpress Mart,Gloucester,C,0,83017.30907,62,4.1,36,44512001,1,0,159000,"1,500 - 2,499",9,54928.12727,292277.1455,2019
1263 Broad St,Yogi Grocer Inc,Essex,B,0,140182.1575,3,2.7,78,44511003,0,0,242750,"1 - 1,499",25,67268.47273,799220.5636,2019
686 Grand Ave,686 Grand Corp,Bergen,C+,0,108316.9431,34,4.2,19,44511003,1,0,252500,"2,500 - 4,999",48,85629.45455,942512.0545,2019
319 W Hanover St,JYO Deli Market Corp,Mercer,C+,0,74981.04188,5,4,50,44511003,0,0,234500,"1 - 1,499",6,69383.27273,370297.8364,2019
786 Summer Ave # A,Melo Deli Grocery,Essex,C+,0,70091.07877,80,4.2,158,44511003,1,0,243000,"1,500 - 2,499",17,67268.47273,799220.5636,2019
514 Ferry St,Met Foodmarkets,Essex,B+,0,420546.4726,103,3.9,106,44511003,1,0,242667,"2,500 - 4,999",19,67268.47273,799220.5636,2019
6818 Bergenline Ave,Met Pinacle Super Market,Hudson,A,0,971776.4201,170,3.9,149,44511003,1,0,230400,"10,000 - 19,999",59,65296.05455,685991.5091,2019
152 S Main St,Milltown Convenience,Middlesex,B,0,163894.6828,7,3.3,13,44512001,1,0,229000,"1 - 1,499",13,61266.49091,835785.1818,2019
3 Netcong Rd # 1,Minute Mart,Morris,C,0,52097.24238,7,4.6,26,44512001,1,0,265000,"1 - 1,499",7,99047.49091,495913.1091,2019
320 W Branch Ave,Northern Kingdom LLC,Camden,C+,0,40948.94948,88,3.2,54,44521006,1,0,168000,"1,500 - 2,499",16,54218.50909,505016.4182,2019
300 Parkville Station Rd,One Stop Shop,Gloucester,C+,0,83017.30907,1,1,6,44512001,1,0,159000,"1 - 1,499",9,54928.12727,292277.1455,2019
103 NE Atlantic Ave,One Stop Shoppe,Camden,C+,0,40948.94948,4,3,9,44512001,1,0,222000,"1,500 - 2,499",25,54218.50909,505016.4182,2019
4 Route 47 S,Pantry 1 Food Market,Cape May,B,0,136837.3877,27,4.6,18,44719005,1,0,550250,"1 - 1,499",2,61476.94545,92193.6,2019
471 Summer St,Paulino Grocery,Passaic,B,0,119493.9971,4,4,180,44511003,1,0,207667,"1 - 1,499",20,51091.4,506323.1818,2019
102 Berlin Rd N,Quick Food Store,Camden,C+,0,81897.89896,7,4.6,54,44512001,1,0,221500,"1,500 - 2,499",16,54218.50909,505016.4182,2019
1353 Ringwood Ave # D,Quick Stop,Passaic,C,0,39831.33235,6,3.7,9,44512001,1,0,208000,"1,500 - 2,499",7,51091.4,506323.1818,2019
915 Port Reading Ave,Race Star Inc,Middlesex,C+,0,81947.3414,26,4.4,7,44512001,1,0,229000,"1 - 1,499",19,61266.49091,835785.1818,2019
104 W Main St,Rockys Rod Shop,Hunterdon,C,0,45305.89842,7,5,4,44719005,1,0,1010000,"1 - 1,499",1,89151.38182,123816.5273,2019
556 S 6th St,Rosemary Supermarket,Camden,C+,0,81897.89896,21,4.7,45,44511003,1,0,221500,"1 - 1,499",31,54218.50909,505016.4182,2019
100 Norwood Ave,Sarah's Tent Inc,Monmouth,C+,0,114372.5103,60,4.9,4,44529912,1,0,122667,"1 - 1,499",7,79548.29091,621279.6364,2019
253 Broadway,Small Apple V Grocery,Essex,C+,0,70091.07877,27,4,158,44511003,1,0,243000,"1,500 - 2,499",17,67268.47273,799220.5636,2019
176 Pulaski Ave,Stop-N-Go,Middlesex,B,0,122921.0121,11,4.2,14,44511003,1,0,229000,"1 - 1,499",12,61266.49091,835785.1818,2019
671 Kennedy Blvd,Sunrise Convenience Store,Hudson,C+,0,97177.64201,4,4.8,106,44512001,1,0,230500,"1 - 1,499",18,65296.05455,685991.5091,2019
306 21st Ave,21st Avenue Deli Grocery,Passaic,C,0,79662.6647,3,5,180,72251117,1,0,55000,"1,500 - 2,499",20,51091.4,506323.1818,2019
301 Preakness Ave,Al Madins Supermarket LLC,Passaic,C,0,79662.6647,17,4.9,42,44511003,1,0,208000,"1,500 - 2,499",17,51091.4,506323.1818,2019
525 Elizabeth Ave,Alexca Grocery Deli Inc,Essex,C+,0,70091.07877,7,3.9,80,44511003,1,0,243000,"1,500 - 2,499",24,67268.47273,799220.5636,2019
86 Main St,Allamuchy General Store,Warren,C+,0,66852.76632,231,4.6,2,44512001,1,0,234500,"1 - 1,499",1,55860.87273,105169.1091,2019
760 W Side Ave # A,Ando Jersey City West Indian,Hudson,C+,0,97177.64201,45,4.4,200,44511003,1,0,230500,"1 - 1,499",39,65296.05455,685991.5091,2019
1177 Princess Ave # 1,Arias Mini Market,Camden,C+,0,81897.89896,9,4,45,44512001,1,0,221500,"1 - 1,499",31,54218.50909,505016.4182,2019
130 Broad St # 1,Bargain Man,Union,B+,0,663414.5118,13,3.4,122,45231906,1,0,186944,"5,000 - 9,999",25,68219,562057.7636,2019
3703 Pacific Ave,Bautista Grocery,Cape May,C,0,34209.34692,14,3.1,40,44511003,1,0,409000,"1 - 1,499",7,61476.94545,92193.6,2019
210 Anderson Ave,Checo Supermarket,Bergen,C+,0,108316.9431,30,4.4,34,44511003,1,0,252500,"1,500 - 2,499",55,85629.45455,942512.0545,2019
509 Martin Luther King Jr Dr,Clarissas Supermarket Inc,Hudson,B,0,145766.463,7,5,118,44511003,1,0,230667,"1 - 1,499",32,65296.05455,685991.5091,2019
1255 Raritan Rd,Clark Commons LLC,Union,C+,0,147425.4471,1909,4.5,18,72241001,1,0,70750,"1,500 - 2,499",23,68219,562057.7636,2019
284 N Clinton St,Clearview Windows,Essex,B,0,210273.2363,20,4.2,72,44511003,1,0,242667,"2,500 - 4,999",18,67268.47273,799220.5636,2019
1200 Summit Ave # 1,Corner News,Hudson,C,0,48588.82101,5,5,210,44511003,1,0,231000,"1,500 - 2,499",55,65296.05455,685991.5091,2019
500 Washington Ave # 1,Country Farms,Ocean,C,0,40286.73089,5,4.2,39,44512001,1,0,259000,"1,500 - 2,499",8,52010.14545,600689.8727,2019
334 Bloomfield Ave,Deli Multiservice,Essex,C,0,35045.53939,5,4.2,78,44511003,1,0,243000,"1 - 1,499",25,67268.47273,799220.5636,2019
155 University Ave # 2,E Z Market,Essex,B,0,210273.2363,22,3.6,74,44512001,1,0,242667,"2,500 - 4,999",17,67268.47273,799220.5636,2019
4 Tennent Ave,Englishtown Liquors-Convience,Monmouth,B+,0,152496.6804,67,4.4,45,44531001,1,0,289250,"1 - 1,499",11,79548.29091,621279.6364,2019
959 Liberty St,Family Supermarket,Mercer,C+,0,74981.04188,122,4.4,78,44511003,1,0,234500,"1,500 - 2,499",8,69383.27273,370297.8364,2019
103 Westwood Ave,Five Corners,Bergen,C,0,54158.47157,19,3.7,24,44512001,1,0,253000,"1,500 - 2,499",15,85629.45455,942512.0545,2019
24 County Rd 639,Food Barn,Sussex,B+,0,297918.1601,55,4.5,15,44511003,1,0,248333,"1,500 - 2,499",1,61649.29091,139335,2019
219 Riva Ave,Food Mart,Middlesex,B,0,122921.0121,1,5,13,44512001,1,0,229000,"1,500 - 2,499",13,61266.49091,835785.1818,2019
1538 Liberty Ave,Foodzon Corp,Union,C,0,73712.72353,20,4.3,39,44523003,1,0,163500,"1,500 - 2,499",27,68219,562057.7636,2019
1353 Stelton Rd,Four Seasons Thai Cuisine,Middlesex,B+,0,204868.3535,532,4.2,41,44511003,1,0,229000,"2,500 - 4,999",17,61266.49091,835785.1818,2019
295 Mount Pleasant Ave,Freddy's Corner,Passaic,C+,0,39831.33235,16,3.3,48,44531004,1,0,338000,"1 - 1,499",19,51091.4,506323.1818,2019
1353 Stelton Rd,Four Seasons Thai Cuisine,Middlesex,B+,0,204868.3535,532,4.2,41,44511003,1,0,229000,"2,500 - 4,999",17,61266.49091,835785.1818,2019
2117 Grier Ave,Grier Ave Supermarket,Union,C,0,73712.72353,8,4.1,94,44511003,1,0,240500,"1,500 - 2,499",28,68219,562057.7636,2019
532 Washington St # A,Hoboken Mini Mart,Hudson,C+,0,97177.64201,1,5,65,44512001,1,0,230500,"1,500 - 2,499",54,65296.05455,685991.5091,2019
6825 Tilton Rd # 3,Hummus Taza Mediterranean Mkt,Atlantic,C,0,74427.48599,14,3.9,40,44512001,1,0,264500,"2,500 - 4,999",9,48563.56364,266207.8,2019
6825 Tilton Rd # 3,Hummus Taza Mediterranean Mkt,Atlantic,C,0,74427.48599,14,3.9,40,44512001,1,0,264500,"2,500 - 4,999",9,48563.56364,266207.8,2019
128 Drs James Parker Blvd,Isacc Grocery Store LLC,Monmouth,C,0,114372.5103,15,3.9,47,44511003,1,0,229000,"1,500 - 2,499",12,79548.29091,621279.6364,2019
293 Park Ave,Judy Supermarket,Essex,C+,0,70091.07877,19,4.5,72,44511003,1,0,243000,"1 - 1,499",18,67268.47273,799220.5636,2019
106 Shrewsbury Ave,Juquila,Monmouth,C,0,38124.1701,10,4,47,44511003,1,0,229000,"1,500 - 2,499",12,79548.29091,621279.6364,2019
